Bucket_Number,Group,RW
1,Energy Ð Solid combustibles,30%
2,Energy Ð Liquid combustibles,35%
3,Energy Ð Electricity and carbon trading,60%
4,Freight,80%
5,Metals Ð non-precious,40%
6,Gaseous combustibles,45%
7,Precious metals (including gold),20%
8,Grains & oilseed,35%
9,Livestock & dairy,25%
10,Softs and other agriculturals,35%
11,Other commodity,50%
